OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Sales,Total Cost,Profit,Year,Month,Profit Margin (%)
SO - 000101,In-Store,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-14,2018-06-19,USD,6,15,259,12,5,0.08,1001.18,1963.1,9030.26,5005.9,4024.3600000000006,2018,May,44.56527276069571
SO - 000102,Online,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-22,2018-07-02,USD,14,20,196,27,3,0.08,3348.66,3939.6,10873.296,10045.98,827.3160000000007,2018,May,7.608695652173919
SO - 000103,Distributor,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-21,2018-07-01,USD,21,16,213,16,1,0.05,781.22,1775.5,1686.725,781.22,905.5049999999999,2018,May,53.68421052631579
SO - 000104,Wholesale,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-02,2018-06-07,USD,28,48,107,23,8,0.08,1464.69,2324.9,17111.264000000003,11717.52,5393.744000000002,2018,May,31.52159887194775
SO - 000105,Distributor,WARE-NMK1003,2018-04-10,2018-05-31,2018-06-16,2018-06-26,USD,22,49,111,26,8,0.1,1476.14,1822.4,13121.28,11809.12,1312.1599999999999,2018,May,10.000243878645984
SO - 000106,Online,WARE-PUJ1005,2017-12-31,2018-05-31,2018-06-08,2018-06-13,USD,12,21,285,1,5,0.05,446.56,1038.5,4932.875,2232.8,2700.075,2018,May,54.736335301421576
SO - 000107,In-Store,WARE-XYS1001,2017-12-31,2018-05-31,2018-06-08,2018-06-14,USD,10,14,6,5,4,0.15,536.67,1192.6,4054.8399999999997,2146.68,1908.1599999999999,2018,May,47.05882352941176
SO - 000108,In-Store,WARE-PUJ1005,2018-04-10,2018-05-31,2018-06-26,2018-07-01,USD,6,9,280,46,5,0.05,1525.19,1815.7,8624.574999999999,7625.950000000001,998.6249999999982,2018,May,11.57883142067868
SO - 000109,In-Store,WARE-PUJ1005,2017-12-31,2018-06-01,2018-06-16,2018-06-21,USD,4,9,299,47,4,0.3,2211.2,3879.3,10862.039999999999,8844.8,2017.2399999999998,2018,June,18.571465396923596
SO - 000110,In-Store,WARE-UHY1004,2017-12-31,2018-06-01,2018-06-29,2018-07-01,USD,10,33,261,13,8,0.05,1212.97,1956.4,14868.64,9703.76,5164.879999999999,2018,June,34.7367344962283
SO - 000111,Distributor,WARE-XYS1001,2017-12-31,2018-06-01,2018-06-15,2018-06-20,USD,23,21,17,38,6,0.1,124.62,201.0,1085.4,747.72,337.68000000000006,2018,June,31.11111111111111
SO - 000112,In-Store,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-07,2018-06-17,USD,10,21,152,40,5,0.15,2762.28,6277.9,26681.075,13811.400000000001,12869.675,2018,June,48.23521915814861
SO - 000113,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-22,2018-07-02,USD,4,36,317,39,5,0.05,641.66,1051.9,4996.525,3208.2999999999997,1788.225,2018,June,35.78937361466219
SO - 000114,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-07,2018-06-15,USD,8,17,291,32,6,0.15,216.41,254.6,1298.4599999999998,1298.46,-2.2737367544323206e-13,2018,June,-1.7511026557863324e-14
SO - 000115,In-Store,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-15,2018-06-20,USD,9,32,138,6,6,0.15,3146.32,3932.9,20057.79,18877.920000000002,1179.869999999999,2018,June,5.882352941176465
SO - 000116,In-Store,WARE-MKL1006,2017-12-31,2018-06-01,2018-06-24,2018-07-02,USD,5,11,354,25,3,0.05,700.69,1112.2,3169.77,2102.07,1067.6999999999998,2018,June,33.6838319499522
SO - 000117,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-19,2018-06-27,USD,9,10,320,6,3,0.08,904.84,1239.5,3421.02,2714.52,706.5,2018,June,20.65173544732273
